#Upper Colorado Basin Intervening Natural Flows (ac-ft/mon)
#start 1 1906
#end 12 2001
"Colorado River At Glenwood Springs, CO","Colorado River Near Cameo, CO","Taylor River Below Taylor Park Reservoir, CO","Gunnision River Above Blue Mesa Reservoir,CO","Gunnison River At Crystal Reservoir,CO","Gunnison River Near Grand Junction, CO","Dolores River Near Cisco, UT",Colorado River Near Cisco UT,Green R Bel Fontenelle Res WY,"Green R. Nr Green River, WyY","Green River Near Greendale, UT","Yampa River Near Maybell, CO\","Little Snake River Near Lily, CO","Duchesne River Near Randlett, UT","White River Near Watson, UT","Green River At Green River, UT","San Rafael River Near Green River, UT","San Juan River Near Archuleta,NM","San Juan River Near Bluff, UT","Colorado R At Lees Ferry, AZ"
45820,45883,5704,22296,1500,36763,17474,-4400,61000,-6239,13858,13574,3544,24052,13908,-23998,2900,26794,13259,-8653
45295,54887,3723,21277,2600,28779,15508,6971,33000,-170,22893,17144,8390,34464,24893,2005,2500,20626,16451,-7196
37443,38937,3277,16723,3300,27414,18081,9860,26000,3558,30123,14450,6417,32972,18393,-5143,2800,24848,24872,-20289
43405,45859,4055,25945,6200,32860,40515,9501,61000,10247,60321,42250,21433,30492,31196,1632,8400,65373,34357,-51700
178781,144554,9366,97634,28000,122548,222157,-82915,135000,27549,87398,236640,80745,101962,70810,37783,20108,141192,132878,37472
452171,341949,31327,208683,51800,171747,244586,-58654,269300,4657,119790,376532,94274,168663,101270,-3249,74118,273273,146824,201712
454694,365228,35039,196389,40700,123751,152848,8857,523100,28560,104781,264506,77660,173625,90024,16438,43889,238565,145432,60901
223095,190952,21674,93208,10200,73128,69657,8179,361900,35819,45590,148506,101204,123457,71680,190302,28393,81765,134309,-28541
111851,88025,10243,66427,4600,23735,39141,-3027,156200,17017,41223,30870,57634,53435,37071,26549,17978,43310,117505,-64916
88371,67709,9115,52223,4100,33617,37124,208,80700,8571,33040,28165,37132,40537,35139,11864,15415,43674,81971,-7048
89738,55797,8749,39251,5300,34279,29479,4612,57000,6092,39528,31721,13496,36287,28905,10581,4513,61156,68430,45438
63309,45576,5062,32938,4200,30186,19753,13548,50000,1276,17605,26778,10669,46580,24666,18993,7409,64386,11652,43783
41991,25548,4250,25750,2200,39571,8769,-6771,21000,2585,14049,17887,4290,36844,18357,-9772,4000,47625,4247,27425
45102,49444,3812,22188,3200,35914,12117,8382,25000,4799,29199,14115,6215,39629,13565,-6622,3400,35300,20792,3988
41898,37863,3949,17051,3900,28235,12965,5434,26000,2359,39391,16825,9389,43352,18628,-7307,3600,28269,41498,27835
62247,45397,4545,42455,8300,31982,32381,-2676,63000,15068,78888,59323,37689,51865,47596,43554,5500,80027,85417,83497
