#Upper Colorado Basin Intervening Natural Flows (ac-ft/mon)
#start 1 1906
#end 12 2001
"Colorado River At Glenwood Springs, CO","Colorado River Near Cameo, CO","Taylor River Below Taylor Park Reservoir, CO","Gunnision River Above Blue Mesa Reservoir,CO","Gunnison River At Crystal Reservoir,CO","Gunnison River Near Grand Junction, CO","Dolores River Near Cisco, UT",Colorado River Near Cisco UT,Green R Bel Fontenelle Res WY,"Green R. Nr Green River, WyY","Green River Near Greendale, UT","Yampa River Near Maybell, CO\","Little Snake River Near Lily, CO","Duchesne River Near Randlett, UT","White River Near Watson, UT","Green River At Green River, UT","San Rafael River Near Green River, UT","San Juan River Near Archuleta,NM","San Juan River Near Bluff, UT","Colorado R At Lees Ferry, AZ"
49412,36094,3795,23405,5500,32636,14700,20217,26600,900,9603,18500,6640,22124,22000,12047,3768,27000,36961,38199
42456,31638,3315,17385,2200,34970,13500,12458,26700,-500,6791,15200,1740,26059,18100,5735,3667,23500,57448,22511
36434,28672,3476,18324,600,31062,13600,10079,21700,100,10014,13600,8370,22276,18100,10691,2030,22100,55664,29049
37404,29317,3211,17389,1900,30627,20000,15794,19900,-800,12440,16400,17100,31189,22200,12043,2025,48400,78300,15240
50491,31796,3738,25262,3500,33848,41100,19866,37300,8000,38559,39300,27710,31981,31400,5756,6030,121000,90279,28651
84923,49872,4491,50209,10700,64274,184000,20411,82400,12800,68194,92184,22180,32927,33500,-17819,1760,275000,115629,-60503
559432,444573,31982,287587,58700,575882,627900,-38281,176600,1000,117172,457590,70840,189183,161300,102879,60812,821300,540393,76249
512594,378449,39635,294534,47300,319126,280800,29591,353800,6700,80789,261571,94720,234074,128500,154580,76064,618048,366181,321596
199903,199363,16330,151431,14200,170821,145700,74074,171400,14400,36862,64213,78120,87681,53800,102690,40803,330657,258953,217032
105984,80750,7375,75754,3500,90709,56000,37496,103800,5700,41108,31734,81040,51949,41300,40696,14398,93922,122007,105153
69744,57776,4717,29735,3700,43693,44400,15799,48300,2700,25671,14992,39760,34436,31500,12953,3786,86585,127309,-14271
75150,88994,8140,56560,7300,127212,198800,21367,62100,4900,17566,40200,52000,86201,44000,22020,5077,261100,394798,240475
59316,64817,4644,41156,5300,70049,61100,5108,46700,6800,14485,28200,33670,53646,28600,32558,5053,91800,104508,155721
47994,55745,3951,30049,4200,46502,33800,8310,27000,-700,7247,24000,20130,45149,23800,27658,4039,43300,55089,69666
42607,47208,3452,22848,4500,41201,25800,-5420,22800,900,12256,21100,1460,28973,22600,7467,6031,33600,38296,26771
40608,45580,4144,18056,4400,37907,22200,-4830,16800,6700,10883,19100,8290,38904,22000,4484,5026,27900,32308,35450
46403,56599,3952,25848,7000,40892,49800,60,36400,6900,42707,50100,42050,43331,43400,26075,6031,65700,62729,5008
170864,168465,10302,143698,33400,371586,525400,-39787,163900,35600,67845,238955,84430,131993,107000,44248,14062,422300,182058,26543
396936,390190,25120,267890,50600,488131,413800,-52815,152400,-1900,125319,373909,58380,136416,158500,43229,41893,334400,189836,-91748
752737,530146,57159,357969,57800,337188,264400,-80440,355900,8100,144736,345953,121940,219726,154700,116853,79024,340697,269721,400475
269106,220181,21358,137852,10200,147926,93500,50258,233600,23300,46087,74972,73420,69563,58400,85136,43928,106846,120229,188216
103729,84577,9824,70146,2400,79820,48200,25376,100600,6600,29022,26254,69050,37947,35400,26306,31789,42184,33768,75581
54415,49971,4518,26620,1400,41709,16300,12251,43600,1400,17332,10722,21580,15663,27000,2985,4388,24128,24107,11922
50846,42206,5177,22223,1300,37722,13100,10088,30600,-1500,10116,10926,14890,20679,29100,8765,2158,16100,18012,15818
49200,45163,3991,24709,900,36800,12500,16575,26300,100,9688,14700,12090,26266,27400,13004,3039,18000,16199,17031
43699,43900,5574,21926,300,33054,11600,10397,26300,-400,5410,12800,10110,31934,22600,13101,3029,15700,27688,30294
44075,39638,4327,18473,1700,33908,11500,8374,26800,700,9994,11500,9750,31388,21200,6303,4023,17100,26917,17424
41715,37971,3477,17223,3500,24431,13900,10546,26900,1900,19848,13500,13180,32636,24000,2697,5019,24600,25231,2299
55982,40379,4231,25069,5700,20597,22000,9311,44000,14700,63256,46300,23780,34776,33000,-16891,6023,58700,37428,5266
191114,84850,13504,155896,32400,117131,224300,5776,177000,23400,103636,194557,20580,62157,40100,-12665,15047,201900,110864,-136686
377768,186499,30031,212135,42700,172821,165100,916,241000,-3600,119202,244013,52060,129115,56400,-9588,22893,197316,152114,57613
651523,397147,46672,246030,47400,160829,138000,2628,498800,-1100,180154,279117,56890,167355,93000,-46390,38973,151721,150969,34473
290818,175867,19098,118392,11900,100889,61600,67811,379900,39000,38875,88731,75700,100013,46200,94483,32203,75474,86722,228943
123771,104503,13236,94834,9500,88720,53200,42399,150600,8300,36144,29669,59100,81315,47800,58928,22321,57810,65236,41080
68651,59439,6426,49612,5300,62425,30500,17294,65700,3500,27029,14606,29090,20834,25100,-4508,3868,25212,46130,57355
54803,51950,6325,29175,4100,32580,17600,2924,47500,1200,27946,10910,14150,22953,21300,-12346,2178,17800,24193,8874
49054,48455,4991,31709,5100,34555,13600,16430,39400,4000,10580,14200,16660,27899,23000,15483,2053,20700,30100,34668
43001,42764,4174,20926,2700,34331,10300,11558,30200,-600,7142,12200,10070,28486,21300,8054,3039,19300,31008,39214
36510,37227,3474,17926,1600,28796,9400,4342,25000,-100,11846,10300,2660,28715,18800,-6496,2031,14100,23251,15571
38245,32501,3577,19223,2600,23366,12200,15503,24600,600,21817,10300,12170,29914,21400,-4139,3026,14400,34534,28556
47533,31256,4774,22926,5700,21687,16800,14825,31500,-100,75885,17900,52720,48384,32100,434,6031,40200,36082,8406
80045,33144,4675,52025,14500,32774,103600,-9192,215600,51100,66193,43700,47380,56402,28500,37307,4062,147100,62365,-10402
333531,284446,25640,298070,59300,453628,479800,81121,161400,-6200,122232,314524,89750,184350,95500,73629,59813,423600,266606,-178325
588604,443236,43360,355468,63500,328700,302000,57836,361200,1100,218819,363953,115540,329157,119800,53264,109354,422548,348851,133877
241426,235341,16400,170644,19800,155680,118300,91220,258800,26200,57729,84745,88380,157366,52200,114515,43297,159364,191671,243300
81835,71361,6322,68363,3400,59684,47400,28724,99800,5400,34500,21845,43900,52603,28500,20848,18677,39895,48089,76539
45259,41397,4205,21333,2100,34311,19200,5476,38800,100,26134,7935,16490,21010,21200,-9498,4987,12086,29005,-8852
46438,40197,4386,27314,3300,44960,12100,5366,38700,-300,6339,10120,14890,28293,20700,12937,4463,30500,37183,-9568
41902,44024,3807,25393,3300,42050,14200,12376,30300,1000,10996,15900,10250,29758,20100,4822,3043,23400,28248,14119
36767,40385,2715,20385,700,41912,11800,-2894,21900,-1100,8945,12700,2390,32683,19900,-3529,3032,16400,27548,14887
37327,36865,3215,21385,2500,30375,11700,4254,23500,400,19268,12100,6180,34553,25400,-7302,3025,16300,25973,23426
36204,35079,2955,18445,2600,25087,15700,16396,25100,1700,23852,9800,16050,31597,25600,-203,3021,24800,38269,7382
44520,33142,3515,23385,4100,24040,14000,17047,35400,5200,41521,23400,22590,37476,28000,-1645,6025,42600,30000,-4015
68685,43941,5848,45852,10700,33744,145500,-6471,69400,8200,61267,89100,24190,30284,29500,-6937,1051,155900,42662,-61952
362894,272393,24237,209473,57500,413089,321900,11038,120700,-9500,99429,448572,64390,94144,110900,66261,32265,341900,185294,-76597
566544,379163,31972,212356,51800,230748,124500,75374,250800,200,121016,402346,61240,159389,111900,45249,52289,237937,203559,39949
348464,287286,18529,138396,19300,129197,69800,76535,310500,31900,59270,180834,82170,119354,66900,114335,35480,89685,111090,179322
209042,132159,11771,99499,7900,96042,52400,66415,150100,9300,47427,68696,53380,79393,45600,39945,22352,49756,84773,139785
79442,52942,6083,31855,2200,31779,16400,8803,74100,8400,25899,24983,20230,23039,27800,-4549,4673,7920,13903,38641
69914,50202,4865,31135,1900,50383,20100,10845,55000,-108,7343,18007,23630,24745,25600,19457,3158,27100,32816,62237
61124,51961,4096,27804,4000,38799,10500,15875,37100,3702,449,18900,12920,29849,26600,24327,2939,15800,26633,21022
46655,46149,3255,21045,2300,32504,8800,-475,31600,-1858,9150,16100,7200,29919,20500,6986,2129,11000,18394,8565
42544,42190,3852,18848,2800,34419,11200,-4480,30300,-1839,12046,13900,13950,28022,22100,9473,1823,13800,23162,29946
41288,37367,2744,17056,5100,24152,10300,5397,24000,1652,16968,18300,12550,25495,20600,3511,3919,14900,20735,7470
61161,35926,3152,29848,8000,21887,18600,17492,41000,7331,62484,39600,28380,33657,30300,-1579,6023,26400,20089,16334
194137,90282,10559,84841,23100,91400,80100,4204,143100,16494,92277,215000,3280,66058,43400,-5621,10947,85200,37303,-144962
303346,184398,18415,123127,28300,109056,84500,30688,215500,-3951,148074,225867,105660,91889,70100,-19898,22246,89200,55502,88792
504444,385608,38350,213357,35400,151326,102300,30247,335900,10356,117328,244259,72110,120018,80700,-30735,31748,131341,155100,26343
202783,138840,11596,86121,3300,93532,51100,52963,186800,13434,45020,61405,64340,86612,35700,43615,31466,39144,66730,118300
104160,59637,6299,54606,4200,54021,36800,49608,99900,4869,42811,25159,45460,47667,34300,2713,22831,41963,59241,56614
68984,41981,3245,24037,3700,38823,19700,7889,50700,4340,19581,14196,22650,21864,26000,976,3168,24787,26321,26424
66305,52771,5143,29757,2900,40825,15300,12157,53200,6962,11225,20400,13210,19907,27500,4572,2766,35000,20151,-10040
55748,42898,4106,25394,2000,37268,13900,25077,46800,6180,10539,24500,15760,35618,24400,11722,4745,29100,31910,25100
44939,43419,3582,19018,400,33638,10800,21932,42800,-4942,12928,19600,16570,36006,22900,15002,3633,19900,27314,33159
33343,30787,3074,15926,1900,24636,8500,8941,26900,276,15635,13800,4100,29204,16600,-10470,2326,15400,16550,7572
42147,28568,3261,15539,2500,27843,10800,10528,26800,327,31032,14900,21080,39900,19400,2381,5322,19800,26403,4836
58331,38882,3946,23854,4100,25459,17900,11817,77800,17122,78926,75700,54730,40995,42600,31688,4126,33500,16576,-1347
112398,55554,5493,60907,11500,26229,64000,3784,84700,23121,88485,164200,35530,35724,35100,-14638,11553,54800,14078,-28467
549128,351623,34937,268653,41200,214891,199500,33473,341700,9032,152933,499684,94660,214025,144100,88861,55484,226000,138533,-57939
675361,457444,50460,282841,48200,199940,140200,6866,429700,22533,104576,325236,113600,213382,121800,153509,59762,174066,169037,42356
494113,345616,30474,186862,20100,156581,85000,58409,348100,37418,30706,139900,80380,110846,73900,111947,31812,70100,117067,197254
183564,118225,10975,92295,6500,85039,54000,25010,188600,15847,29708,40039,72000,57633,45000,56704,24558,92863,219396,157260
92961,72950,8572,57866,3500,69959,39700,23056,79900,6862,21144,23600,34470,25991,32000,3559,7476,62900,78179,33989
80476,65588,8081,44919,4700,60172,42300,32342,67500,4122,28679,21600,18340,18126,34000,-5120,3258,69300,131694,100333
72139,55529,5560,34740,4100,50940,21300,26162,53500,4894,13660,26500,14880,33594,27800,9529,3539,32100,37796,49262
50291,43030,4633,28667,2100,33551,15800,19393,40500,-4511,14338,38300,4250,36205,27000,2385,4029,20200,39325,21160
48266,39762,4579,22421,3900,25775,15100,2142,29500,-2324,16117,37400,6660,33284,23400,2385,3123,20200,25072,19186
48303,39351,4242,21058,4300,34219,25800,8615,21200,-318,27803,37000,11050,29743,21200,-6197,6419,26200,46295,25721
51670,47063,4779,24421,5300,39218,25600,27965,41800,17429,34461,56800,48100,44473,38100,38742,7123,37200,44210,-9575
158027,94457,8036,86264,65500,171500,256800,16363,78500,20053,73449,195000,57720,41487,58800,55926,11647,227700,98695,-47654
622306,406020,46171,385739,85500,416502,299600,-22248,200900,9550,156529,464999,71660,128274,132600,28710,38595,393100,210878,-42549
549095,411964,54498,331330,46500,223588,167700,26428,379100,25052,63851,255762,75580,118196,100700,106421,34027,371086,286151,288161
195700,198576,18415,136605,11500,111567,76600,27542,155200,15663,37943,67162,64620,61338,41800,61454,21384,102336,120142,137092
106182,87102,9473,71722,4100,51049,45300,21666,78600,4425,37557,30747,39680,43181,34800,14653,12618,48184,59863,86261
61610,40956,6397,23741,2000,33381,13700,6180,39500,4578,17935,12658,19520,19509,23800,-917,3568,12330,25918,6316
55019,47647,5925,30675,2600,33603,12200,9582,34100,-385,21662,16597,10340,8846,22700,-8672,1675,19500,50573,-12188
50876,41921,4766,26834,3700,36608,10400,18703,25000,3387,13153,16500,9870,17566,22400,379,1752,17300,35668,42962
46646,31747,5013,22387,3600,41971,11000,16496,24400,4333,2933,15800,3790,31424,19300,1638,2138,14900,25517,20907
44624,32372,4828,19172,0,29254,12800,25746,24500,-222,16578,15300,9850,29306,15000,-3244,1930,19200,45575,-15744
40869,28068,4360,16340,2400,31643,17600,33455,21100,2928,21731,15900,16180,26888,13600,-3464,2425,19600,51644,-12337
54644,40283,4551,24049,4100,38454,24200,52917,43000,7777,50141,43700,34500,48699,38800,16836,8930,63700,67410,25632
124385,72660,8722,98278,20700,109459,195400,7663,99200,19560,69922,192297,17850,63318,44400,5087,17359,233300,107817,-129960
412204,233027,23299,234401,49300,240830,260600,34945,214100,11961,137338,429684,134380,179547,108200,131034,49414,349900,183061,56817
766021,476522,54836,386971,69000,258434,249600,6309,363900,20815,122064,444528,104320,315392,164600,210568,81736,478576,366783,175833
395249,282455,27415,207953,19700,161735,110300,40978,217700,21142,49446,134939,81480,125163,83400,118649,29337,217162,181086,304578
131770,97444,8859,81322,3300,64685,49900,7434,99000,7611,32947,33067,44140,53438,40000,14178,10689,53938,52012,100262
68049,59619,5501,24664,3600,41129,16900,-1101,44400,6607,20423,14121,22210,18056,31300,-2546,4623,17614,23786,1325
69377,65451,5995,32605,3800,36027,14500,27309,49200,6768,6422,24000,28860,27711,33700,38431,3125,21800,26852,17799
47693,53670,5310,32090,3300,35966,13000,18126,50900,3329,-1485,19900,24700,33442,26000,38865,3260,20900,22352,24505
42590,42217,3817,21883,700,29241,9700,16034,27900,373,8487,15500,13850,34044,20800,14362,2533,13900,22764,22843
40070,35755,4536,20864,-900,31932,12300,41234,25700,2143,18944,15000,1820,37351,20400,27975,2424,17400,25328,-33393
40408,34166,4171,18129,1900,34467,16200,40115,28700,-3,25922,15300,24440,30879,17300,9499,6223,24000,26564,-3652
48636,38840,4520,20680,2400,34485,22000,12240,39800,16075,61269,27500,85350,45810,29800,58145,5333,35900,19961,22934
117622,73073,11031,99669,19600,91352,141700,-7360,202500,20391,117731,133200,58720,57612,33300,22617,3412,136800,20873,-83347
277940,179785,22852,145768,25000,164443,108800,-8922,249100,9755,166220,273685,159880,130841,63500,48722,17928,149100,48552,6347
614303,415191,38675,219483,35200,177899,105500,-3265,570900,31285,212107,349536,71360,279958,131300,135205,31899,135325,113568,116753
212420,168116,13244,91914,6600,108522,48200,22548,418400,43886,56074,99571,104270,114564,48000,88194,26557,52654,67532,235851
84390,61163,5121,45279,2100,55883,24900,-4963,168200,16100,46188,26038,72690,61872,27700,14460,11211,15404,25382,58489
62783,51282,4248,17052,2500,32663,10700,-3163,76600,8277,25782,13856,31180,30903,26800,-8699,3339,14437,26399,1902
54475,49744,4676,24924,1600,38431,9000,796,60300,11344,7125,17246,13360,24334,26500,11595,1231,16200,17888,32293
49261,45154,4203,22197,2500,24097,7400,9556,62700,7294,9630,17100,6390,31092,23400,13998,2225,10500,11734,-4600
49546,42554,5868,21832,2200,35571,8100,1969,42400,5154,13204,16400,20820,38752,22500,18712,2812,10300,22538,41463
39207,37083,4368,20832,2200,23507,9100,183,38200,1079,5377,14400,6480,31894,18100,5432,2506,9800,21020,16990
43699,30342,3694,20906,-100,24807,8900,7712,39700,49,21461,14800,22690,30452,23500,20485,2906,10600,19696,10289
46766,41093,3710,29590,4100,19337,10800,-358,49000,7469,36403,32700,16400,27721,26800,14250,2318,21300,11473,15656
91019,47972,5664,56336,9800,-10775,19000,-38639,145500,18203,48152,110200,11380,25304,26100,8214,1245,38800,-184,-48758
449733,178513,25054,157928,28800,141374,69900,-45584,321000,-1662,80914,338175,26910,112697,81100,19360,21245,140300,37985,-148937
740876,371964,45930,251867,20000,161060,87600,5072,510400,26433,141381,331346,94470,206226,120900,80136,45023,125227,128940,199657
440071,240208,19521,88960,29800,112506,40100,24071,371000,47058,29401,126689,68590,117026,63000,59480,24900,27012,80824,194790
167291,92365,9875,60399,2900,56800,23500,9119,216300,21625,48032,37123,49200,75630,43000,43285,18653,33790,49520,113864
77705,40272,4864,17569,1900,27488,8100,966,88400,13874,13933,18025,25380,20465,25400,22627,3980,14000,49372,57927
71298,45722,4570,25230,3300,23581,6800,2472,64900,15629,18347,20500,18110,27398,25100,26987,5791,7700,24652,-8043
58153,41477,4646,22554,2700,33288,5700,8655,38000,12273,6522,15800,19520,36972,22700,17527,3763,14100,26626,60376
54298,43088,4730,21770,2000,21131,6700,13421,36200,7020,10713,12400,530,40275,20900,12631,2955,22100,16210,-8819
49412,43538,4630,23770,2600,25622,14400,27888,40400,797,8231,13900,13770,35815,20100,12212,2849,31200,59561,59963
42677,37744,3622,19278,4200,22880,9500,14265,37500,4312,10433,14500,15450,30990,19300,13795,5141,18800,23476,37791
48439,50038,4474,21126,3700,25197,15500,12010,43500,8249,11682,18800,14930,37866,20600,13166,13649,58700,28056,-14373
185739,121913,8035,138365,35200,178093,334700,3460,152300,38173,126109,240000,73730,129173,77000,186443,24324,328000,115710,-167148
666580,405316,41997,334017,80700,438240,386300,25345,301000,47298,254878,524123,314600,398442,150800,285260,101677,435400,248156,128992
1075525,594770,76414,462811,84500,324941,286500,52607,375300,60733,180989,493754,163240,398339,218300,142801,145102,506963,371501,185961
321526,252958,25770,155345,18300,132643,108400,388,193300,34298,74200,90721,91470,150243,60200,82116,43914,148290,148281,185604
195481,139555,13694,100808,8100,84394,47100,-9154,115500,14972,38992,44802,53610,97757,49600,48104,26472,65701,48242,71399
103520,81898,8455,41953,4900,46089,20900,-19037,58500,8115,17369,21429,29460,48790,38400,26474,8506,25706,38088,84671
64890,48098,5044,33856,5600,20651,12600,-21588,36200,5338,10983,13304,12930,16343,27100,11428,3703,12600,23835,33146
55042,46009,3550,27150,4800,28079,7300,-5600,24900,3289,8745,12300,13640,28465,21800,12220,3559,14300,24081,42953
48392,39571,5374,26126,1700,40823,10000,6800,25200,1498,7319,13600,9720,40700,26200,8476,4143,18800,25500,14443
58034,34923,4874,23126,2700,36301,11300,10514,29100,2834,15709,14600,8480,44759,24600,7201,5731,19100,27814,20774
44877,27081,3599,16501,4000,27095,9200,2666,30200,2527,15491,12200,14010,37700,23200,12433,6628,16200,19960,39639
57621,34128,3980,28120,4400,25498,15600,11872,41400,2613,28810,24600,27480,39751,35400,24727,5737,40200,14001,-7093
86564,33400,5312,44288,12700,23337,49800,-4567,70400,6344,19177,72400,10420,20721,29600,8387,3472,88500,27122,-52550
284166,127097,19173,123927,28200,105022,90000,-9066,67100,7332,35474,224411,32920,22759,70400,28247,7944,138000,51169,-169254
739652,436988,50034,288944,54600,214022,129400,48532,370500,35266,100444,386762,86470,204189,145400,73425,51192,186407,164580,143520
243074,169899,17146,105637,10000,97729,50500,22142,229000,36879,35864,66397,73000,84320,39600,65314,25179,44857,82418,163434
146609,90632,9233,69379,6400,59000,36200,19083,123000,18720,26471,34595,39890,42761,40200,35583,12865,28639,66665,126592
65314,40757,3252,21348,3400,39098,12000,8958,44400,5470,13551,12816,16570,22172,22400,14788,3944,3834,19272,32022
50632,38344,3297,26203,2600,22552,19200,8050,30700,2942,3065,9726,8330,13738,21700,7303,3767,14000,32671,-414
55257,44858,4917,29483,4400,38847,11300,23597,31900,4485,5371,15700,12890,23700,24100,11459,4143,24600,33344,22715
50101,34122,3614,24186,2200,23978,8200,19383,23300,442,7787,11600,9160,30539,21300,8048,3137,15200,21563,25114
49325,32857,3425,19875,1900,26022,8800,24754,25400,236,2271,14500,8920,33133,22600,7805,3631,13100,20509,-1138
39339,32850,3250,18250,3400,23260,9400,7285,29300,-2039,11784,15000,18130,28580,25500,16376,5428,20800,16183,19510
44595,31700,3362,23238,5200,15916,12300,11529,36300,11561,13767,23400,21940,26367,24400,19754,3637,32500,15886,11370
95489,55814,11492,42508,11400,26685,64500,-13317,65000,23098,12742,104433,14670,28184,34500,12083,2987,110700,24294,-60364
239584,181640,26056,74451,20700,80694,86300,11763,287100,-5606,34171,223271,24550,102793,73200,18543,15870,185918,88084,-15641
188348,147012,20424,70543,10900,70993,47500,4005,253200,4025,15950,99671,35650,60222,40600,30365,17129,88745,98229,92498
119991,88655,11360,69940,5200,85415,27900,23410,260600,33457,57332,31568,57970,63894,27600,51202,15728,66833,113887,43942
70003,43354,3913,45687,4900,46895,20800,7943,107800,18750,12002,15707,29410,38184,20500,26219,8945,51457,49656,42593
53496,49440,1698,21302,3800,43237,21900,23946,47000,7333,6679,12788,26750,20064,35500,24274,5386,37694,60890,-8665
60569,70295,5502,30098,2500,41823,28300,14219,36300,4080,4049,23413,18300,22321,26600,16454,2468,12762,89721,61039
48668,50145,3850,22250,2700,25581,11300,6349,33200,6001,1647,16200,13260,22312,20000,11835,1758,7840,27299,23741
40662,42321,3876,21324,1100,26490,6700,2186,18400,-686,2160,12500,6510,22174,17900,5688,2343,13910,22133,21967
37153,35924,3576,18324,900,26835,5700,7966,19800,-283,4543,12400,2340,29682,15900,1741,2137,13319,18701,-1978
34292,32635,3028,12372,2400,25464,7200,7062,19100,1310,4165,10600,6750,25743,18700,5871,2033,13254,21082,-332
43084,42591,3338,16262,3000,39476,32000,21732,27900,5460,10237,28000,45230,38661,46600,41512,6437,28925,35132,75040
115940,53356,8003,54197,13400,42150,75000,14653,59900,14286,32029,119500,21970,31881,31000,18822,2569,51803,16321,-78803
303573,197884,23176,111550,26200,170017,147000,20046,128700,-1484,48263,306490,58430,89612,88400,50837,10701,158181,58095,-44876
370450,274870,34916,153622,27400,143380,104900,8513,265800,2883,69973,213474,54300,124946,84000,46184,23396,161279,123418,44431
178407,142633,11622,67713,7800,77016,40400,14192,154100,14569,48618,46804,57670,65043,26900,51825,17813,42268,72008,82912
125269,90380,10194,63326,4700,57399,38900,10016,91500,4750,27526,25921,43440,42618,27300,39371,14449,80627,97235,25323
55446,40805,2334,7153,15200,33749,12000,-670,38700,2454,9799,9112,15590,18950,15900,14030,4432,18904,19664,26021
45293,30674,4603,15297,1900,21756,6300,-2106,30800,1822,6569,8242,6230,10987,20900,5329,1582,4976,11471,-7391
49645,39943,3909,22191,2800,28417,6300,14245,25100,2099,8981,15600,2640,18771,21500,-3700,1086,12028,14084,-11149
49765,34225,4038,25262,2300,29247,8800,20751,32100,2446,10868,19800,1300,36648,21200,11508,2258,16483,20252,-14130
44365,29390,3538,20262,2100,27606,7900,16056,38400,-1055,12686,17000,21840,34935,20100,19773,3055,17574,24403,19856
37678,27166,3522,15378,2900,25781,8600,13189,29700,-1138,8926,14100,4110,26896,19400,3275,2852,15949,19365,2331
55256,35558,3576,24324,3700,28235,21300,10353,65700,24964,59009,30000,18150,30073,43500,49898,2755,52506,22597,-67762
130022,65707,6025,78375,19800,49398,73700,-16835,130200,28279,44331,214100,9490,37439,33200,-4256,3386,91134,25658,-25459
610195,300256,35825,199202,44100,138621,122900,-46173,306800,3600,67493,414006,54610,151179,103400,244773,24555,212172,81217,-254214
559630,364313,47772,195196,35400,143372,100400,28381,571200,27897,94289,285428,113700,185594,97600,98573,24185,153098,137962,270923
152713,96994,10162,60238,5700,73884,30200,20131,223100,23982,48587,45525,47720,66073,30000,41895,12237,31599,61015,70043
100601,46008,8101,38499,5100,39029,18400,21925,124600,14660,29983,26785,33300,30228,27900,29550,6048,18269,45893,38875
48529,23697,4939,8561,3000,19499,5700,2710,59600,97,15843,10900,12640,20576,18000,11057,2834,579,18820,10539
42833,27421,3235,20165,1700,12714,2900,1860,42700,-2079,11053,8765,3320,8922,19700,2520,857,1080,7261,-23114
46291,34055,4332,23268,1300,30085,6300,20872,35500,-886,4012,12600,5620,19593,20500,4710,848,12245,18153,5245
41707,32179,3599,19201,-200,27869,5400,16177,26100,-374,-139,11500,2000,23929,18100,-13204,1037,9587,16330,17368
44234,33796,3899,17201,1400,32986,5800,26629,22600,-177,5445,12600,1190,27241,21400,602,1637,14685,24280,-2173
41397,33098,3522,18278,1900,34374,12800,23189,27700,9218,6044,13000,1590,25073,22100,864,3633,31263,34182,-12109
48877,32087,3599,23201,4800,27408,12900,16165,45100,11949,8655,28700,47560,26647,30500,43687,2537,47924,25169,21340
82779,59485,4527,69173,16800,51311,119600,3597,54600,5444,26019,125400,24920,17854,29300,21771,1853,135499,51589,-32917
405790,247072,19560,212940,69900,292426,306900,-46007,186100,-9948,95683,440000,66300,70633,76300,56895,12823,235709,120275,-53559
1124200,620468,86341,596393,122800,539764,398200,-22498,494300,19869,221775,691134,99390,304135,225000,81159,112269,560807,344607,48986
800408,550010,74898,388556,104800,271190,199600,78610,385400,47112,92495,377822,124720,127899,179100,109317,43014,357124,264528,329407
235575,185184,26070,161930,15000,93400,102400,59288,135000,9560,57301,74285,71040,50579,71000,64107,19030,167113,216710,193305
107050,77454,11036,59964,6900,78837,57200,34891,70000,4937,23879,32380,30690,28618,39800,27518,6469,58442,92865,161673
80661,61458,7466,38534,4900,52200,39200,24298,57800,8414,12084,28800,16590,25233,32800,14523,10227,51333,79000,110837
67628,52002,7340,35660,6900,55100,28800,36490,44900,3060,9049,28700,36390,46523,33100,33187,21388,60931,73671,157649
58387,39685,5980,35120,4000,38090,19700,24595,41600,-304,4364,24800,11570,35332,28300,10059,4952,36477,43980,36269
47085,29819,5398,26702,2300,32190,12800,30146,32600,167,10631,20100,6900,33942,23900,5758,4543,24258,31041,11765
47229,37345,5032,23268,2600,40500,32100,27955,41000,6147,7934,27900,18120,37929,35300,16059,7539,53216,67256,2298
55450,50340,5056,26544,3500,45660,35300,13965,42200,8797,14943,41400,36770,42163,35200,33404,5843,79267,82626,30537
85473,70399,2921,92479,21900,133000,347500,775,85500,13991,34750,161671,35810,42290,45100,31224,13842,285975,135611,-40215
702806,331320,37781,420217,92100,414300,401300,-10032,290500,1659,118563,564436,43010,216158,152600,110021,76397,481269,304660,-151375
620916,416507,38333,341870,62900,270000,207200,86136,284100,26100,103698,351681,171550,196457,143200,154229,78440,322323,289627,397242
153944,126850,9417,91222,8000,95450,52700,33988,119800,5651,43450,51317,62140,65093,42900,56254,19856,59297,95487,115368
87635,63015,7121,59993,3500,50290,28400,8216,75900,3368,24260,23467,29960,37215,30700,26888,13970,29788,41590,31943
56025,48419,3907,30993,3800,33640,16700,14788,43400,1315,10518,13250,17810,18227,27300,15986,6216,33132,37281,6113
46091,42804,4116,24484,2000,29540,11200,6375,31300,2235,5791,14081,7510,8629,28400,6469,1800,17075,27307,16246
49144,39685,3950,27150,2500,39430,9300,15409,30000,1993,2111,14600,7750,16552,24500,6713,2572,19115,26216,19864
48527,32023,4092,23208,3100,36680,9600,15053,29400,1998,6595,13200,10350,25773,22000,9129,3756,14935,22493,36437
45269,31833,3916,21284,2200,32440,9800,6728,21800,2101,5355,13500,5110,26793,23400,4250,2643,11669,19450,16866
39796,31928,3655,18945,3400,26710,9800,7135,22700,1836,7160,14500,12940,30635,20800,11580,3939,15501,16590,13962
46741,33283,3668,22832,2700,25760,11200,4421,36300,12414,16364,21500,11290,19815,23500,9767,2943,18690,14137,12793
85664,38520,6041,45159,11500,-5770,36200,-25402,59800,13513,25166,89300,1180,10906,30300,-377,1650,41260,1040,-2134
316390,163985,16509,105292,24500,99600,69000,-15221,77100,1564,40151,275166,32310,28628,66800,27309,6033,104452,39757,-98949
648090,399619,37842,199585,34900,147398,68800,20958,368700,-7440,67935,303601,15890,133733,107100,8751,20733,116510,123238,10230
207743,121813,9942,65449,4100,73319,24000,38207,171500,17291,82572,63791,75270,60961,39700,67789,13744,29042,67580,215110
