700 Year Tree Ring ENSO Index Reconstructions
-----------------------------------------------------------------------
               World Data Center for Paleoclimatology, Boulder
                                  and
                     NOAA Paleoclimatology Program
-----------------------------------------------------------------------
NOTE: PLEASE CITE ORIGINAL REFERENCE WHEN USING THIS DATA!!!!!


NAME OF DATA SET: 700 Year Tree Ring ENSO Index Reconstructions
LAST UPDATE: 9/2009 (Original receipt by WDC Paleo) 
CONTRIBUTOR: Ed Cook, Lamont-Doherty Earth Observatory 
IGBP PAGES/WDCA CONTRIBUTION SERIES NUMBER: 2009-105 


WDC PALEO CONTRIBUTION SERIES CITATION: 
Cook, E.R., et al. 2009.  
Tree Ring 500 Year ENSO Index Reconstructions. 
IGBP PAGES/World Data Center for Paleoclimatology 
Data Contribution Series # 2009-105. 
NOAA/NCDC Paleoclimatology Program, Boulder CO, USA.


ORIGINAL REFERENCE: 
Cook, E.R., R.D. D'Arrigo, and K.J. Anchukaitis. 2008. 
ENSO reconstructions from long tree-ring chronologies: 
Unifying the differences? 
Talk presented at a special workshop on 
"Reconciling ENSO Chronologies for the Past 500 Years", 
held in Moorea, French Polynesia on April 2-3, 2008.

ABSTRACT: 


GEOGRAPHIC REGION: Pacific
PERIOD OF RECORD: 1300-1979 AD (1980-2006 data are instrumental) 

FUNDING SOURCES: 

 

DESCRIPTION: 
Reconstructions of Niño 1+2, 3, 3.4, and 4 indices based on tree-ring 
data from Mexico and Texas.  The reconstructions go back to AD 1300, 
with the best verified portion beginning in AD 1400. Post-1979 data 
are all instrumental, reconstructions cover the period AD 1300-1979.

The four recons are very similar because they are based on only 
reconstructing the two leading modes (EOFs) of tropical Pacific 
December-January-February Sea Surface Temperature variability. 




DATA:

Year      Niño1+2     Niño3    Niño3.4      Niño4
1489       0.396      0.556      0.609      0.458
1490       0.416      0.414      0.316      0.129
1491      -0.025     -0.119     -0.174     -0.191
1492       0.752      1.016       1.09      0.723
1493      -0.544     -0.735     -0.794     -0.598
1494      -0.309     -0.294     -0.302     -0.272
1495      -1.161     -1.397     -1.495     -1.041
1496       0.035      0.037     -0.027     -0.098
1497      -1.122     -1.504     -1.726     -1.394
1498       1.036      1.437       1.48      0.942
1499       1.169      1.301      1.314      0.854
1500       0.169       0.17      0.156      0.052
1501      -0.256     -0.305     -0.274      -0.12
1502      -0.495     -0.567     -0.619     -0.481
1503       0.158      0.278      0.337       0.33
1504       0.521      0.645      0.658      0.473
1505       0.369       0.43       0.39      0.148
1506      -0.753      -0.98     -1.025     -0.786
1507      -0.259     -0.189     -0.202     -0.234
1508      -0.442     -0.561      -0.66     -0.547
1509       0.151      0.156      0.126      0.058
1510       0.716      0.889       0.93      0.621
1511       0.852      0.959      0.959      0.548
1512      -0.498     -0.662       -0.7     -0.541
1513      -0.476     -0.452     -0.451     -0.349
1514      -0.472     -0.609       -0.7     -0.541
1515      -0.471     -0.636     -0.783     -0.694
1516      -0.609     -0.723     -0.831     -0.662
1517      -0.225     -0.229     -0.258     -0.169
1518        0.44      0.477      0.404      0.114
1519       0.494      0.575      0.584      0.344
1520       0.509      0.584      0.613      0.413
1521       0.033     -0.076     -0.123     -0.213
1522      -0.442     -0.512     -0.493     -0.321
1523       0.172      0.221      0.247      0.195
1524      -0.284     -0.348     -0.335     -0.106
1525      -0.107     -0.086     -0.041      0.042
1526       0.618      0.751      0.791      0.533
1527      -0.046     -0.138     -0.139     -0.065
1528      -0.522     -0.657     -0.673     -0.491
1529       0.175      0.234      0.176     -0.056
1530       0.345      0.388      0.376      0.195
1531       0.388      0.488      0.529      0.377
1532      -0.075      -0.15     -0.167     -0.139
1533      -0.261     -0.311     -0.327      -0.29
1534       0.294      0.449      0.502      0.357
1535      -0.079     -0.098     -0.061       0.04
1536       0.671      0.874      0.934      0.633
1537       0.608       0.71      0.749       0.53
1538       -0.47     -0.599     -0.586      -0.35
1539       0.978      1.288      1.449      1.139
1540       0.848      0.974      0.954      0.528
1541       0.265      0.156      0.129     -0.038
1542      -0.534     -0.658     -0.658     -0.488
1543       0.414      0.499      0.513      0.332
