    lat          lon      elev    precip
    37.980  -107.200  3486.912     2.540
    37.970  -105.530  3291.840    17.780
    37.680  -107.770  3249.168     0.000
    40.220  -105.920  2657.856    10.160
    37.470  -107.620  3413.760     0.000
    39.720  -106.150  2865.120     7.620
    40.530  -106.670  3200.400     0.000
    39.980  -107.230  2956.560    10.160
    37.350  -105.220  3310.128     5.080
    40.030  -105.570  3139.440     5.080
    37.720  -107.250  2865.120     7.620
    37.480  -106.830  3108.960    48.260
    37.600  -105.370  3246.120  -999.999
    39.620  -106.370  3139.440     7.620
    37.480  -107.500  3316.224    33.020
    39.620  -108.220  2377.440  -999.999
    37.200  -105.120  3115.056    10.160
    40.200  -105.600  2913.888  -999.999
    40.330  -106.100  2907.792    10.160
    40.420  -105.730  3261.360    12.700
    37.470  -106.800  3352.800    43.180
    40.780  -106.580  2846.832  -999.999
    36.950  -106.650  2560.320     5.080
    36.980  -105.250  3230.880     7.620
    38.470  -109.270  2913.888    12.700
    41.050  -107.250  2267.712     7.620
    41.230  -106.220  2918.155  -999.999
    41.220  -105.370  2538.984  -999.999
    41.070  -106.930  2717.292  -999.999
    41.150  -106.970  3048.000     0.000
    41.120  -107.170  2484.120     7.620
    41.150  -106.920  2819.400     2.540
    41.000  -106.900  2727.960     0.000
