    lat          lon      elev    precip
    39.617  -103.183  1388.059  -999.999
    37.667  -103.917  1472.184    41.070
    37.179  -104.487  1837.944    64.834
    37.183  -104.517  1844.040    59.436
    37.262  -104.338  1749.857    52.315
    37.150  -104.557  1923.288    77.016
    37.833  -107.883  2956.255   108.627
    37.133  -103.300  1709.318    52.927
    39.083  -106.300  2797.150  -999.999
    39.094  -106.351  2805.684    41.014
    37.567  -102.400  1260.043  -999.999
    37.650  -102.533  1296.010  -999.999
    38.376  -108.742  1527.048    29.600
    37.267  -103.033  1524.914  -999.999
    39.639  -106.354  2519.782    49.265
    37.384  -107.582  2331.720    67.974
    39.949  -102.246  1188.720    61.214
    39.918  -102.382  1188.720    74.771
    38.717  -105.150  2958.999  -999.999
    40.966  -105.219  2138.172    63.035
    39.300  -102.733  1373.124    71.797
    37.800  -106.833  2592.934  -999.999
    40.744  -106.279  2455.469    36.349
    37.630  -104.796  1920.240    52.805
    37.382  -102.299  1212.494    87.530
    40.426  -105.210  1594.104    44.017
    37.430  -106.032  2317.395    27.496
    40.333  -103.933  1325.880  -999.999
    40.726  -105.110  1603.248    86.615
    38.131  -105.466  2395.728    67.357
    39.133  -105.117  2378.964  -999.999
    39.100  -107.517  2531.974  -999.999
    38.217  -105.100  2007.108  -999.999
    38.133  -105.200  2377.440  -999.999
    38.133  -105.083  2244.852  -999.999
    39.764  -105.073  1666.037    43.707
    37.867  -104.114  1441.704  -999.999
    40.150  -104.183  1437.132  -999.999
    38.917  -107.517  1798.625  -999.999
    38.903  -103.019  1438.656    60.897
    38.659  -102.997  1336.548    53.425
    40.037  -106.204  2321.966    46.320
    40.467  -104.900  1457.249    45.099
    39.868  -105.764  2776.118    55.654
    37.474  -106.791  3243.072   100.741
    37.483  -106.867  2876.093  -999.999
    39.101  -105.094  2365.248    58.420
    40.075  -103.568  1333.195    74.625
    37.018  -104.489  2310.384    73.031
    40.061  -102.220  1121.664    80.721
    40.336  -102.259  1150.925    59.055
    40.156  -106.909  2404.872    45.231
    37.521  -108.756  2090.928    37.515
    37.559  -108.664  2157.984    41.571
    40.124  -102.721  1261.872    70.264
    40.209  -102.812  1252.728    83.940
    37.320  -105.070  3048.000    82.096
    40.350  -106.370  3340.608    52.324
    39.900  -105.750  2950.464    48.354
    40.300  -105.630  2895.600    53.340
    40.070  -107.020  2767.584    47.413
    37.700  -107.500  3535.680    72.441
    39.580  -106.500  2590.800    38.735
    39.800  -105.770  3444.240    61.504
    39.750  -107.350  3316.224    47.221
    39.080  -106.530  3230.880    55.504
    39.300  -106.120  3398.520    67.628
    40.220  -106.580  2816.352    33.020
    39.870  -107.580  2865.120    40.640
    38.880  -106.950  3096.768    49.921
    37.650  -107.800  2706.624    71.026
    37.650  -107.800  2718.816    62.006
    39.870  -108.600  2590.800    43.180
    38.150  -106.580  3054.096    69.427
    40.380  -106.600  2791.968    43.543
    38.420  -108.370  2865.120    40.398
    37.430  -108.020  3287.268    93.394
    40.200  -105.570  2621.280    59.983
    39.480  -106.170  3215.640    51.616
    40.170  -107.050  2773.680    41.487
    37.200  -105.180  3200.400    63.591
    37.020  -106.450  3060.192    55.392
    40.800  -105.770  3115.056    44.722
    40.530  -106.770  2560.320    36.124
    39.650  -105.580  3230.880    89.464
    37.780  -108.020  3048.000    48.986
    40.830  -106.970  2651.760    40.912
    39.370  -106.180  3474.720    53.904
    38.870  -105.070  3493.008    98.213
    37.470  -106.530  3541.776    98.213
    39.630  -105.870  3383.280    66.793
    39.250  -106.500  3398.520    60.537
    39.350  -106.070  3474.720    62.747
    37.930  -107.670  2987.040    57.856
    39.070  -106.600  3230.880    58.232
    39.280  -106.530  3169.920    49.371
    39.570  -105.800  3340.608    72.813
    40.520  -105.880  3084.576    58.692
    39.750  -105.900  3169.920    59.690
    39.320  -106.600  2926.080    45.818
    39.930  -105.580  2956.560    57.422
    40.400  -105.820  3261.360    52.342
    37.370  -106.530  3352.800    59.925
    37.780  -107.920  3108.960    76.670
    37.880  -108.180  2926.080    69.521
    40.800  -106.730  2840.736    29.069
    39.670  -105.900  3474.720    57.912
    40.080  -106.670  2706.624    49.237
    37.420  -108.170  3048.000    81.280
    39.130  -107.280  2895.600    47.507
    39.600  -106.530  2889.504    43.180
    37.850  -105.430  2941.015    62.653
    39.050  -108.050  3048.000    36.528
    39.430  -105.920  3230.880    63.500
    37.620  -107.030  3429.000    72.531
    39.780  -106.020  2724.912    47.837
    37.830  -107.720  3060.192    59.871
    37.730  -107.680  3200.400    56.364
    39.280  -106.600  2651.760    45.143
    39.600  -107.950  2682.240    38.100
    40.400  -105.950  3133.344    59.944
    40.030  -105.530  3444.240    74.413
    39.070  -107.150  2804.160    55.649
    39.080  -107.630  2999.232    80.151
    38.820  -106.580  2926.080    48.636
    39.030  -107.870  3035.808    49.984
    40.380  -105.830  2752.344    52.681
    38.480  -106.330  3279.648    50.256
    40.370  -106.730  2865.120    32.899
    40.700  -106.000  2749.296    44.196
    37.880  -107.700  3413.760    69.427
    40.120  -107.280  3151.632    38.221
    40.870  -106.050  2956.560    44.685
    39.030  -106.080  3157.728    71.120
    39.020  -107.050  3261.360    60.498
    37.630  -108.020  2773.680    53.098
    37.500  -108.120  3267.456   138.853
    37.980  -107.200  3486.912    60.584
    37.970  -105.530  3291.840   104.616
    37.680  -107.770  3249.168    57.331
    40.220  -105.920  2657.856    34.521
    37.470  -107.620  3413.760    83.336
    39.720  -106.150  2865.120    47.806
    40.530  -106.670  3200.400    46.990
    39.980  -107.230  2956.560    42.603
    37.350  -105.220  3310.128    42.192
    40.030  -105.570  3139.440    70.757
    37.720  -107.250  2865.120    42.333
    37.480  -106.830  3108.960    67.854
    37.600  -105.370  3246.120   100.511
    39.620  -106.370  3139.440    49.439
    37.480  -107.500  3316.224    65.435
    39.620  -108.220  2377.440    43.906
    37.200  -105.120  3115.056    93.698
    40.200  -105.600  2913.888    73.660
    40.330  -106.100  2907.792    44.904
    40.420  -105.730  3261.360    61.430
    37.470  -106.800  3352.800    61.081
    40.780  -106.580  2846.832    39.116
    36.950  -106.650  2560.320    47.716
    36.980  -105.250  3230.880    75.474
    38.470  -109.270  2913.888    56.075
    41.050  -107.250  2267.712    24.361
    41.230  -106.220  2918.155    36.195
    41.220  -105.370  2538.984    83.185
    41.070  -106.930  2717.292    28.787
    41.150  -106.970  3048.000    44.501
    41.120  -107.170  2484.120    31.288
    41.150  -106.920  2819.400    40.234
    41.000  -106.900  2727.960    37.737
